Set,Date,date2,Where,Description,State,Number,Zipcodes,notes,cause
FY 2011,10/30/10,10/23/10,"Greg's Marine Construction, Inc.,, Lusby, MD 20657","During a demolition operation, worker was attached into a pylon splash jacket that slipped down the pylon and pulled the worker 50 feet underwater.",MD,1,20657,,
FY 2011,10/30/10,10/24/10,"Ayalaz Agriculture Services FLC #12004, Kettleman City, CA 93239","Worker was crushed when tractor he was driving, pulling a bin dumper full of pomegranates, fell onto its side.  Worker was possibly trying to make a U-turn while going too fast.",CA,1,93239,,
FY 2011,10/30/10,10/24/10,"Labor Only Re-Cover, Inc.,, Berlin, NJ 08009",Worker was walking across roof and fell through the roof to the floor.,NJ,1,8009,,
FY 2011,10/30/10,10/25/10,"Acha Construction, , Havertown, PA 19083","While roofing, worker fell from pitched roof of residence.",PA,1,19083,,
FY 2011,10/30/10,10/25/10,"Gulf-Atlantic Constructors, Inc.,, Gulf Breeze , FL 32563",Worker was placing highway safety barrels for a lane closure.  An on-coming car swerved into the closed lane and struck him.,FL,1,32563,,
FY 2011,10/30/10,10/26/10,"Family Ranch, Inc., Kettleman City, CA 93239","Worker was using an auger to drive posts into the ground, when his clothing became entangled in the equipment resulting in fatal injuries.",CA,1,93239,,
FY 2011,10/30/10,10/26/10,"Post Buckley Schuh & Jerngan Inc.,, Houston, TX 77032","While walking along track, worker was struck by unmanned rail car at airport.",TX,1,77032,,
FY 2011,10/30/10,10/27/10,"Don Park (USA) Limited Partnership,, Conley, GA 30288","While worker was attempting to guide a steel beam structure being moved by a crane and a forklift, the structure tilted and crushed worker.",GA,1,30288,,
FY 2011,10/30/10,10/27/10,"Notre Dame University, Notre Dame, IN  46556",Worker was in a scissor lift filming a football practice when the lift tipped over.  (High winds were reported.),IN,1,46556,,
FY 2011,10/30/10,10/27/10,"Transportation Technology Services, , Pueblo, CO 81004",Worker was caught between a powered industrial truck and a railroad car and was crushed.,CO,1,81004,,
FY 2011,10/30/10,10/28/10,"A&B Restoration, Murfreesboro, TN 37129",Roofer fell head first from roof to concrete below.,TN,1,37129,,
FY 2011,10/30/10,10/28/10,"Central States Fumigation,, Liberal, KS 76901","While working on the exterior of a bin deck of a grain elevator, worker fell approximately 93 feet to the ground.",KS,1,76901,,
FY 2011,10/30/10,10/28/10,"Strickland Lumber Company,, Eufaula, AL 36027",Worker fell from lift.,AL,1,36027,,
FY 2011,10/30/10,10/29/10,"County of Bernalillo Sheriff's Department,  Albuquerque, NM 87109",Sheriff's Deputy was killed after the patrol motorcycle that he was riding was struck by a truck that crossed the median.,NM,1,87109,,
FY 2011,11/06/2010,10/10/2010,"Pennell & Marlowe Land Surveyors,, Midland, TX 79705",Worker was changing the tire on a company truck using a small mechanical jack to lift the truck.  The truck slipped off the jack and fell onto worker.,TX,1,79705,,
FY 2011,11/06/2010,10/21/10,"Busan Nissan Motor Sales,, Cincinnati, OH 45246","Worker fell, striking his head, while window washing from a ladder/ scaffold.",OH,1,45246,,
FY 2011,11/06/2010,10/27/10,"Steele Rigging Corporation, Booneville, IN  47601",Workers were on a metal roof when the roof gave way and collapsed due to deterioration.  One worker fell through the roof.,IN,1,47601,,
FY 2011,11/06/2010,10/31/10,"Blowout Tools, Inc.,, Fannin, TX 77963",Worker had installed a liquid nitrogen jacket around the outside of the conductor pipe and was flowing liquid nitrogen in order to form a plug.  Worker was found collapsed.,TX,1,77963,,
FY 2011,11/06/2010,11/01/2010,"Edwin Sousa Construction,, Greenwich, CT 06831",Worker was crushed when masonry portico fell from foundation wall into the trench where the worker was working.,CT,1,6831,,
FY 2011,11/06/2010,11/01/2010,"L. H. Woods & Sons, Colton, CA  92324",Worker was crushed between two pieces of steel K-rails.,CA,1,92324,,
FY 2011,11/06/2010,11/01/2010,"Mike S Foy Stucco LLC,, Bradenton, FL 34208","Worker was on a residential roof over a pool deck doing stucco work on a chimney.  Worker lost his footing at the edge of the roof, fell through the pool screen, and struck his head on the concrete pool decking, sustaining head trauma.",FL,1,34208,,
FY 2011,11/06/2010,11/01/2010,"Travel Centers of America,, Brunswick, GA 31523",Worker was replacing a tire on a tractor trailer when the vehicle fell off the jacks and crushed the worker underneath.,GA,1,31523,,
FY 2011,11/06/2010,11/02/2010,"Meade Electric Co. Inc.,, Rock Island, IL 61201","Worker was loading a backhoe onto a low-boy trailer when the backhoe tipped over, fell off the trailer, and crushed the worker underneath the cab.",IL,1,61201,,
FY 2011,11/06/2010,11/02/2010,"Monsanto Company,, Secor, IL 61771",Worker was pinned under truck during work at a rural site.,IL,1,61771,,
FY 2011,11/06/2010,11/02/2010,"Precision Construction & Maintenance, LLC,, Metairie, LA 70119","While excavator was lifting a mat, a chain broke and worker was crushed underneath.",LA,1,70119,,
FY 2011,11/06/2010,11/03/2010,"Bradley Construction, Inc., Charlotte, NC  28205","Two workers were framing on roof of building 30 feet above ground level, when one fell over the side of the building onto the concrete sidewalk below.  He had been walking backwards moving a 2x6 piece of lumber.",NC,1,28205,,
FY 2011,11/06/2010,11/03/2010,"Menominee Tribal Enterprises,, Neopit, WI 54150","Worker was cutting a tree down.  As tree fell, a branch broke off and struck worker.",WI,1,54150,,
FY 2011,11/06/2010,11/03/2010,"Tanner Construction,, Jackson, MS 39211",Worker was riding on top of plywood that was on the forks of a rough terrain forklift.  Worker fell off the plywood and was run over by the forklift.,MS,1,39211,,
FY 2011,11/06/2010,11/04/2010,"Integral Rebar Inc.,, Cumming, GA 30040","Forklift, rigged with telescoping boom, was lowering approximately 3,000 lbs. of rebar into excavated area.  Boom failed, tipping the forklift and causing it to roll onto and crush the worker.",GA,1,30040,,
FY 2011,11/06/2010,11/05/2010,"Adecco, York, PA 17402, Juan C. Parada,","While flagging traffic, worker was struck by a vehicle he was directing to a different lane.",PA,1,17402,,
FY 2011,11/06/2010,11/05/2010,"Juan C. Parada,, Roosevelt, NY 11575",Worker was electrocuted when ladder contacted overhead electrical lines.,NY,1,11575,,
FY 2011,11/06/2010,11/05/2010,"MFA Agri Services,, St. Joseph, MO 64501","After worker attached an ammonia nurse tank to a customer's pickup truck, the truck began to roll.  Customer jumped into truck and hit the wrong pedal.  Truck accelerated and pinned worker.",MO,1,64501,,
FY 2011,11/06/2010,11/05/2010,"Tri City Wastepaper, Inc., Kingsport, TN 37660","Worker, attempting to load a forklift onto a flatbed trailer, suffered fatal injuries after a ramp dropped onto him.",TN,1,37660,,
FY 2011,11/13/10,09/11/2010,"Double U Livestock, Cherry Creek , NV 89301","Worker who was attempting to jump start a farm tractor, suffered massive trauma to upper torso when pinned between tractor and vehicle.",NV,1,89301,,
FY 2011,11/13/10,10/10/2010,"OXEA Corporation,, Bishop, TX 78343",Worker was caught in flash fire at a chemical plant and died a month later during his burn recovery.,TX,1,78343,,
FY 2011,11/13/10,10/20/10,"American Red Cross,, Cherokee, NC 28719",Worker was working from a parked blood-mobile bus.  Worker was standing near the steps at the front of the bus when she fell out of the bus and fatally hit her head on the curb.,NC,1,28719,,
FY 2011,11/13/10,10/25/10,"Contra Costa County Sheriff Department/Jail, Martinez, CA  94533","County jail worker (a nurse) suffered fatal injuries after being struck in the head by an inmate wielding a lamp. She fell, striking her head on floor.",CA,1,94533,,
FY 2011,11/13/10,11/03/2010,"Wolford-Wethington, Inc., Monticello, KY  42633","Worker, who was unstrapping a double-stacked load from a tractor trailer, was killed when 17 boards of unfinished wood became unstable and fell on him.",KY,1,42633,,
FY 2011,11/13/10,11/04/2010,"SSA Marine DBA SSA Terminals (Long Beach) LLC.,, Long Beach, CA  90813","Two workers were operating utility tractor rigs (UTRs) moving shipping containers on the dock.  One operator failed to yield the right of way at an intersection, striking the other UTR.   The impact threw the first operator through the front window of the UTR, which continued to move forward and rolled over him. ",CA,1,90813,,
FY 2011,11/13/10,11/05/2010,"Bosselman, Inc., Hobart, IN 46342",Worker died after being pinned between his service truck and a semi-trailer when the service truck was hit by another vehicle.,IN,1,46342,,
FY 2011,11/13/10,11/05/2010,"Jackson Township Fire Department, Helmsburg, IN  47435",Worker was pinned against a wall when the truck response vehicle he was working on rolled forward.,IN,1,47435,,
FY 2011,11/13/10,11/05/2010,"MFA Agri Service,, Sedalia, MO 65301","Worker was standing on the lifted forks of a fork truck to repair a down-spout on a grain bin.  Worker lost balance and fell approximately 6 feet, striking his head on the concrete pavement.",MO,1,65301,,
FY 2011,11/13/10,11/05/2010,"Sonoco Products Company, Raleigh, NC 27610",Worker at recycling center was operating a forklift with a scoop attached to the forks.  Operator remained in the vehicle while maintenance worker partially removed damaged bolt holding the hydraulic piston to the scoop and walked away to get additional tools.  Operator became pinned between the scoop and the mast of the forklift.,NC,1,27610,,
FY 2011,11/13/10,11/08/2010,"Aevenia, Inc.,, Tioga, ND 58852","While worker was installing underground power cable, when the digging apparatus struck a buried gas line.  Worker was killed by a natural gas compressed-gas concussion.",ND,1,58852,,
FY 2011,11/13/10,11/08/2010,"K & W Recycling,, Troy, AL 36081",An 18-wheeler backed up and ran over two workers who were standing behind the truck.,AL,2,36081,,
FY 2011,11/13/10,11/08/2010,"Rose Brother's Paving Company, Inc., Bath, NC 27808","Worker, a roller operator, walked away from his equipment and  was run over by a dump truck backing out into an open lane.",NC,1,27808,,
FY 2011,11/13/10,11/08/2010,"Seven Valleys Concrete, LLC.,, Centerton, AR 72719","While finishing poured concrete with a broom, the handle extension of the broom contacted an overhead electrical line when the worker lifted the broom to reposition it.",AR,1,72719,,
FY 2011,11/13/10,11/09/2010,"Mollenberg-Betz, Inc.,, Buffalo, NY 14207","Worker died while performing hot work on top of a 10,000-gallon chemical storage tank that exploded.",NY,1,14207,,
FY 2011,11/13/10,11/09/2010,"Schwab Dairy Farm LLC.,, Delevan, NY 14042",Worker entered a manure spreader and was overcome by methane gas.,NY,1,14042,,
FY 2011,11/13/10,11/09/2010,"Univar USA Inc.,, Houston, TX 77041","While unloading a tanker truck containing lighter fluid, worker began gasping for air.  Although treated with oxygen, worker later died at the hospital.",TX,1,77041,,
FY 2011,11/13/10,11/09/2010,"Veolia Environmental Services,, Zion, IL 60099","While lifting a dumpster on the back of the garbage truck, the truck's locking mechanism apparently failed, causing the dumpster to fall and strike worker.",IL,1,60099,,
FY 2011,11/13/10,11/09/2010,"Wagram Paper Stock, Inc., Wagram, NC  28396",Worker was run over by a forklift in an area where forklifts were moving bales of paper.  Worker may have tripped and fallen before being run over.,NC,1,28396,,
FY 2011,11/13/10,11/10/2010,"Allen Painting & Decorating,, Cleveland, OH 44115",Mechanical lift rolled over and crushed worker.,OH,1,44115,,
FY 2011,11/13/10,11/10/2010,"F. Miller Construction, LLC.,, Grand Isle, LA 70358",A pile of lead fell and struck worker on the torso and head.,LA,1,70358,,
FY 2011,11/13/10,11/10/2010,"Lassen Forest Products, Red Bluff, CA  96080",Worker fell into a wood chipper.,CA,1,96080,,
FY 2011,11/13/10,11/12/2010,"Pike Feeds, Inc.,, Pittsfield, IL 62363",Worker fell from a catwalk used to assist in loading trucks with livestock feed.  Worker fatally struck his head when he impacted the ground.,IL,1,62363,,
FY 2011,11/13/10,11/13/10,"Victor Sosa Construction,, Salem, MA 01915","While workers were repairing a flat roof that had gravel on it, the gravel was collected into sandbags.  One bag, with rope and hook still attached, fell off roof without any resistance and fatally struck a worker in the head.",MA,1,1915,,
FY 2011,11/20/10,07/29/10,"A.B.B.T.S. Inc.,, Lutherville, MD 21093",Worker was cutting down a dead tree which fell against another tree.  The second tree broke off and struck the victim on the head,MD,1,21093,,
FY 2011,11/20/10,08/11/2010,"Pioneer Contracting Co. Inc.,, Baltimore, MD 21224",Worker died after falling 23 feet onto two concrete pipes while trying to cross a Jersey wall along an elevated highway ramp.,MD,1,21224,,
FY 2011,11/20/10,09/01/2010,"McLaughlin Electric Company, Fort Washington, MD  20744",Worker died after being pinned between parked trailer and truck.,MD,1,20744,,
FY 2011,11/20/10,09/11/2010,"Barcelona Nut Company, Baltimore, MD 21223",Worker was on a roof changing air conditioner filters when he fell through a skylight and landed 17 feet below onto a lower level.,MD,1,21223,,
FY 2011,11/20/10,09/14/10,"United Sheet Metal, Inc.,, Baltimore, MD 21231",Worker fell 8 feet from a stepladder onto the concrete floor below.,MD,1,21231,,
FY 2011,11/20/10,09/24/10,"R.H. Fewster Painting Co., Inc., Baltimore, MD 21210",Worker fell off a slate roof while painting a cornice.,MD,1,21210,,
FY 2011,11/20/10,10/04/2010,"Chemplex LLC,, Snyder, TX 79549","Three workers were burned in a flash fire in a blending vat.  One of the injured workers, hospitalized with burns over 45% of his body, passed away a few weeks later.",TX,1,79549,,
FY 2011,11/20/10,10/14/10,"Classic Ironworks, Incorporated, Odenton, MD 21113","Workers were setting structural steel and decking on top of cinder block walls.  When a second bundle of decking was placed on unsecured joists, the joists rolled and fell on the victim.",MD,1,21113,,
FY 2011,11/20/10,10/21/10,"Colossal Contractors, Inc., Waldorf, MD 20602","Two workers, picking up litter on a median strip, were both struck and killed by a highway vehicle which left the road.",MD,2,20602,,
FY 2011,11/20/10,10/25/10,"Empire Distributors of North Carolina, Inc.,, Charlotte, NC 28273",Worker died after falling 12 to 15 feet to the concrete floor from an aerial work platform used for picking orders.,NC,1,28273,,
FY 2011,11/20/10,11/02/2010,"Gibson Logging Enterprises Inc, Holmes Mill, KY 40843",Worker suffered fatal injuries after being struck while cutting timber on a steep slope.,KY,1,40843,,
FY 2011,11/20/10,11/09/2010,"Duplichain Contractors,, Nacodoches, TX 75965",A water line ditch approximately 7 feet deep caved in on a worker as he was installing a tracer wire.  Preliminary investigation suggests that no cave-in protection was in use at the time of the incident.,TX,1,75965,,
FY 2011,11/20/10,11/11/2010,"Karr Home Improvement,, Chicago, IL 60623",The worker fell from an undetermined height.,IL,1,60623,,
FY 2011,11/20/10,11/11/2010,"Prestige Decorating, Inc.,, Elmhurst, IL 60126",Worker fell from a ladder while caulking a window on a residential structure.,IL,1,60126,,
FY 2011,11/20/10,11/12/2010,"Forestry Services,, Unadilla, NY 13849",Worker was struck by a tree while cutting down an adjacent tree.,NY,1,13849,,
FY 2011,11/20/10,11/12/2010,"Mountain States Contractors, LLC.,, Memphis TN 37501",Worker drowned after falling into a river when the guardrail system that the employee was tied to was struck by a hammer that fell from a crane bucket.,TN,1,37501,,
FY 2011,11/20/10,11/13/10,"Dunrite LLC,, West Caldwell, NJ 07006",Worker went through a skylight and fell approximately 40 feet to the floor.,NJ,1,7006,,
FY 2011,11/20/10,11/13/10,"Tommy Faxon Excavation,, Chatham, NY 12037",Worker was struck and killed by a tree falling from a dump truck.,NY,1,12037,,
FY 2011,11/20/10,11/14/10,"Cal-Trans, Chico, CA 95973",Traffic control worker struck by drunk driver while working traffic patrol on the highway.,CA,1,95973,,
FY 2011,11/20/10,11/15/10,"John Charles Traverso dba Traverso Tree Service,, Concord, CA  94521",Worker died after being partially pulled into a wood chipper. Foot/ankle got caught in rope and pulled him in. Died from head injury when his head hit the gate on the chute. No contact with blades.,CA,1,94521,,
FY 2011,11/20/10,11/16/10,"Accent Stripe, Inc.,, Buffalo, NY 14210","While road painting, worker was killed when the vehicle he was working from was struck by a passing tank truck.",NY,1,14210,,
FY 2011,11/20/10,11/16/10,"Advocate Condell Medical Center,, Libertyville, IL 60048",Maintenance worker went into an area under construction for an unknown reason.  Lead-lined drywall fell onto the worker when he tried to move the cart it was on.,IL,1,60048,,
FY 2011,11/20/10,11/16/10,"Basic Energy Services,, Quitman, LA 71268","Worker was standing by at a well platform while circulation and cleaning was being performed in the well.  A tube rushed up and out of the well.  As everyone ran for cover, a portion of the tube struck the worker in the head and killed him.",LA,1,71268,,
FY 2011,11/20/10,11/16/10,"Daves Wrecker Service,, Houston, TX 77054","While letting a truck down from his wrecker, worker was caught and crushed between the two vehicles.",TX,1,77054,,
FY 2011,11/20/10,11/16/10,"McKinney Drilling Company, Inc.,, Kearneysville, WV 25213",Worker was operating a drilling rig.  He was crushed when the rig platform broke and fell on top of him.,WV,1,25213,,
FY 2011,11/20/10,11/16/10,"Star Transport, Inc.,, Temple, TX 76503",Potential carbon monoxide poisoning: worker was found dead in the sleeper berth of a locked tractor trailer.,TX,1,76503,,
FY 2011,11/20/10,11/17/10,"American Food Service, Santa Clara, CA 95051",Worker died of acute exposure to carbon monoxide while using a gas-powered pressure washer inside a freezer.,CA,1,95051,,
FY 2011,11/20/10,11/17/10,"Selsor Construction, Madera, CA 93637","Worker who was picking concrete boulders out of a hole, was run over by a frontend loader that backed up over him.",CA,1,93637,,
FY 2011,11/20/10,11/17/10,"TLC Exteriors, LLC.,, South Hadley, MA 01075","While erecting scaffolding, worker fell approximately 30 feet to the ground.",MA,1,1075,,
FY 2011,11/20/10,11/18/10,"Sebastian Soto Concrete,, Carrolton, TX 75052","Worker reached out of loader to retrieve tool while loader's bucket was elevated.  The bucket fell, struck the worker's head, and trapped the worker between it and the loader.",TX,1,75052,,
FY 2011,11/20/10,11/19/10,"Western States Fire Protection Co.,, Austin, TX 78713",Worker was painting pipe when he fell off an eight-foot ladder and fatally struck his head.,TX,1,78713,,
FY 2011,11/27/10,10/24/10,"Midwest Auto Transport Inc.,, Clyde, OH 43410","Wheel assembly exploded, fatally striking employee.",OH,1,43410,,
FY 2011,11/27/10,11/20/10,"American Fireworks Mfg Co. Inc.,, Utica, NY 13502",Worker was struck by fireworks during a fireworks show.,NY,1,13502,,
FY 2011,11/27/10,11/22/10,"Ledoux Control Systems,, New Orleans, LA 70112","Workers were pulling cable between two rooms.  Two workers found the third worker, who had been working alone, unconscious.  Worker was later pronounced dead at hospital.",LA,1,70112,,
FY 2011,11/27/10,11/22/10,"Wolf Creek Ski Lodge,, Pagosa Springs, CO 81147",Ski patrol employee was killed in an avalanche.,CO,1,81147,,
FY 2011,11/27/10,11/24/10,"Baxter Healthcare Corporation,, Cherry Hill, NJ 08003",The worker collapsed and died in the locker room.,NJ,1,8003,,
FY 2011,11/27/10,11/24/10,"Melton Truck Lines,, Eau Claire, WI 54703",Truck driver picked up a load of insulation and began covering the load with tarp.  Driver was later found dead on top of the load and underneath the tarp.  Cause of death currently unknown.,WI,1,54703,,
FY 2011,11/27/10,11/27/10,"Patterson UTI Drilling Co., LLC, Rig 520,, Cotulla, TX 78014","While workers were rigging up a drill rig, the bottom came loose when the crew picked up the rig.  The bottom swung free and fatally struck an employee.",TX,1,78014,,
FY 2011,12/04/2010,10/28/10,"Prestige Security Inc,, Coral Springs, FL 33065","The worker tripped on a median curb, fell backwards and struck his head on a car.",FL,1,33065,,
FY 2011,12/04/2010,11/06/2010,"Joe Leduff,, Owensboro, KY  42301",Worker was electrocuted while attempting to reposition an aluminum ladder.  The ladder created an arc from the overhead lines.  Second employee was hospitalized.,KY,1,42301,,
FY 2011,12/04/2010,11/23/10,"Harsco Metals ARI, LLC,, Ghent, KY  41045","One worker was killed and 5 others injured, one critically, when the workers were removing a chain from a tire on a front-end loader and the tire exploded.",KY,1,41045,,
FY 2011,12/04/2010,11/23/10,"Searcy Healthcare Center, LLC,, Searcy, AR  72143",Worker was hanging curtains and fell from a ladder.,AR,1,72143,,
FY 2011,12/04/2010,11/23/10,"US Postal Service,, Petoskey, MI 49770","While delivering mail, worker lost consciousness and hit a parked car.  Cardiac arrest likely.",MI,1,49770,,
FY 2011,12/04/2010,11/24/10,"Reed Construction,, Knoxville, TN  37914","Worker fell 12 feet from the edge of a roof while in the process of measuring and marking metal panels for installation. During the fall, the victim stuck both a stairwell and handrail.",TN,1,37914,,
FY 2011,12/04/2010,11/24/10,"Roberts Bros., Inc.,, Shawboro, NC  27973",A worker servicing a vehicle was run over when a co-worker moved the vehicle.,NC,1,27973,,
FY 2011,12/04/2010,11/25/10,"Stock Automotive Repair,, Lodi, CA  95242","Worker found on floor, after apparent fall from ladder; ladder may have been damaged.",CA,1,95242,,
FY 2011,12/04/2010,11/26/10,"Chicago Police Department,, Chicago, IL  60601",A Chicago police officer was shot and killed while processing the scene of a burglary inside a garage.,IL,1,60601,,
FY 2011,12/04/2010,11/28/10,"Kurk Haslow Farms,, Loyal, WI 54449","Worker was caught between a gate and a building, while herding cows into a barn for milking.",WI,1,54449,,
FY 2011,12/04/2010,11/29/10,"J & D Rack,, Cincinnati, OH 45238",Worker was engaged in cleaning debris from a 60-inch storm sewer pipe and collapsed from health issues.,OH,1,45238,,
FY 2011,12/04/2010,11/29/10,"Payne Transportation LP,, Shelby, OH 44875",Worker was struck by a semi-truck as he was walking across a parking lot.,OH,1,44875,,
FY 2011,12/04/2010,11/29/10,"Trinity Marine Products Inc.,, Ashland City, TN  37015",Worker was crushed by a metal frame that fell and struck him.,TN,1,37015,,
FY 2011,12/04/2010,11/30/10,"Advanced Imaging Technologies,, West Yarmouth , MA 02673",Worker fell from a 9-foot high unguarded mezzanine while working.,MA,1,2673,,
FY 2011,12/04/2010,11/30/10,"Allocco Recycling LTD,, Brooklyn, NY 11237",Worker was found crushed between the conveyor belt and roller.,NY,1,11237,,
FY 2011,12/04/2010,11/30/10,"Mille Lacs Band of Ojibwe,, Onamia, MN 56359","Worker was found unresponsive at his vehicle in a parking lot, outside the casino, where he worked; possible heart disease.",MN,1,56359,,
FY 2011,12/04/2010,11/30/10,"Peconic Land Trust Inc,, Amagansett, NY 11930",Worker was crushed by a tractor.,NY,1,11930,,
FY 2011,12/04/2010,12/01/2010,"Burlington Northern Santa Fe,, Superior, WI 54880","Worker was working on an elevated catwalk of a material handling system, and was caught between the material chute and the framework of a  moving shuttle conveyor.",WI,1,54880,,
FY 2011,12/04/2010,12/01/2010,"Schindler Elevator Corporation,, Louisville, KY  42546",Worker was working alone on an elevator when he was trapped between an elevator car and a fixed ladder and was crushed.,KY,1,42546,,
FY 2011,12/04/2010,12/02/2010,"Faith Technologies,, Green Bay, WI 54307","A lift truck backed into a scissor lift that was being operated by two employees. The scissor lift tipped forward and fell to the ground. Both workers were taken to the hospital, where one worker died.",WI,1,54307,,
FY 2011,12/04/2010,12/03/2010,"C & C Construction & Floor Covering, Inc.,, Junction City, KS  66441",Worker was working on a new construction residence and fell from a ladder.,KS,1,66441,,
FY 2011,12/04/2010,12/03/2010,"Helping Hands Recycling,, Reedsburg, WI  53959","Worker was approaching a semi-trailer to open the trailer doors and was struck by a straight truck, pinning him against the semi-trailer.",WI,1,53959,,
FY 2011,12/04/2010,12/03/2010,"Putnam and Sons Trucking,, Towanda, PA  18848",Worker was struck by a vehicle.,PA,1,18848,,
FY 2011,12/04/2010,12/04/2010,"Pride Capitol LLC,, Philadelphia, PA 19137",Worker was installing new hinges on the doors of an electrical transformer and contacted an energized conductor inside.,PA,1,19137,,
FY 2011,12/11/2010,11/19/10,"Rexnore Industries, Inc.,, Auburn, AL  36832","Worker was conducting repairs on a milling machine, which was not locked out.  The machine started, crushing the worker.",AL,1,36832,,
FY 2011,12/11/2010,12/02/2010,"LMS Intellibound, Inc.,, Dunn, NC 28334","Worker was operating a stand-up type, reach-rider, high-lift truck in reverse when he struck an empty wooden pallet positioned on the forks of an unmanned reach-rider truck.  The worker contacted the pallet with his upper chest and the force lifted him off the deck of the operator's position and crushed him against the vertical boom of the lift.  Worker was operating both forklifts in performance of his job.",NC,1,28334,,
FY 2011,12/11/2010,12/02/2010,"Professional Metal Roofs,, Huntsville, AL  35805",Worker was pulling the rubber roofing and fell 15 to 20 feet through a skylight.,AL,1,35805,,
FY 2011,12/11/2010,12/02/2010,"Sharps Mill Forest Products, Inc.,, Palmyra, TN 37142","Worker was felling trees in a tract with vines intertwined among the trees when one tree uprooted another, which struck and killed the worker.",TN,1,37142,,
FY 2011,12/11/2010,12/02/2010,"State Armory NYS Div Military & Naval Affairs, New York, NY 11433","Worker was putting a tarp on a leaky roof when he lost his footing, falling about 60 feet through a glass skylight.",NY,1,11433,,
FY 2011,12/11/2010,12/03/2010,"Air Control, LLC.,, Andalosia, AL  36421",Worker was installing heating and cooling equipment and fell from a ladder.,AL,1,36421,,
FY 2011,12/11/2010,12/03/2010,"Draeger Construction Inc.,, Concord, CA 95112",Worker died after receiving multiple bee stings while working outside an apartment building.,CA,1,95112,,
FY 2011,12/11/2010,12/03/2010,"G & M Metals, Inc.,, Wood Dale, IL  60191",Worker was inside a baler performing maintenance or troubleshooting and was crushed by the ram.,IL,1,60191,,
FY 2011,12/11/2010,12/03/2010,"Kramer Tree Specialists, Incorporated,, Chicago, IL 60804",Worker during felling operations of a wood communication pole was struck by the pole.,IL,1,60804,,
FY 2011,12/11/2010,12/04/2010,"Snelson Companies Inc.,, Green River, WY 82935","Worker was welding two pieces of pipe when one of the pieces shifted, striking and fatally injuring him.",WY,1,82935,,
FY 2011,12/11/2010,12/05/2010,"Independent (automotive repair),, Las Vegas, NV 89115","Worker was changing the left front tire of a semi truck with a trailer attached when the jack slipped, causing the truck to fall, crushing his head.",NV,1,89115,,
FY 2011,12/11/2010,12/05/2010,"Odyssey Contracting Corp.,, Sedgwick, ME  04676","Worker was dismantling an outrigger from a bridge, using a bucket truck, and fell 38 feet to the ground.",ME,1,4676,,
FY 2011,12/11/2010,12/06/2010,"South Texas Construction,, Laredo, TX  78501",Worker was performing decking work at a height of 30-35 feet above ground level and fell through the decking.,TX,1,78501,,
FY 2011,12/11/2010,12/07/2010,"Precision Pipeline,, Elko County, NV 89801","Worker was struck by pipe that was being lowered into an excavation by a side-boom pipe layer, causing him to fall into the excavation. The pipe, consisting of 10 sections of 80-foot pipe that were welded together, then fell on top of him.",NV,1,89801,,
FY 2011,12/11/2010,12/07/2010,"Priset Construction,, Wellsboro, PA  16901","Worker fell two and a half stories from a scaffold, striking his head on a pillar below.",PA,1,16901,,
FY 2011,12/11/2010,12/09/2010,"Gulf Stream Marine, Inc.,, Houston, TX  77015","Worker was conducting checker activities at the unloading area.  The driver pulled the tractor trailer forward, causing the worker to fall down under the path of the trailer wheels.",TX,1,77015,,
FY 2011,12/11/2010,12/09/2010,"Proctor & Associates, Inc.,, Richmond Hill, GA  31324",Worker was setting steel bar joists on a concrete-block wall and was knocked off the wall.,GA,1,31324,,
FY 2011,12/11/2010,12/09/2010,"Tyson Foods, Inc., Nashville Feed Mill,, Nashville, AR  71852",Worker was working at a grain bin.   The grain bin collapsed.,AR,1,71852,,
FY 2011,12/11/2010,12/09/2010,"West Penn Energy Services llc Inc.,, Sherocta, PA  15774",Worker was heating a valve on the rear of a water truck with a propane torch and an explosion occurred.,PA,1,15774,,
FY 2011,12/18/10,12/01/2010,"Bob Davis Paint & Drywall, Inc.,, Galveston, TX 77554","Worker was operating an aerial lift to perform painting on a 4-story condominium, when he was pinned between the building and the control station in the elevated working platform.  His body pushed against the joystick that controlled the lift, causing it to push him even more against the building, which eventually caused his death. ",TX,1,77554,,
FY 2011,12/18/10,12/09/2010,"S. Digregorio & Son, Inc.,, Silver Spring, MD 20910",Worker was found under an overhead door.,MD,1,20910,,
FY 2011,12/18/10,12/09/2010,"Shawn Smith Contracting,, Everett, MA 02149",Worker fell from lower level while installing asphalt roof shingles.,MA,1,2149,,
FY 2011,12/18/10,12/10/2010,"Highways Inc.,, Montery, TN 38574",Bulldozer operator was backing down a slope preparing for seeding. Bulldozer flipped over twice and worker was ejected after hitting his head on dash.,TN,1,38574,,
FY 2011,12/18/10,12/11/2010,"Wayne Farms,, Decatur, AL 35602","Worker fell from a vertical staircase located in the locker room. She cut her lip and was taken to the medical room, where she later passed out in the chair. She was rushed to the emergency room, where she was pronounced dead.",AL,1,35602,,
FY 2011,12/18/10,12/13/10,"Bronco Drilling,, Edmond, OK 73019","The drilling rig crew was making a connection, when a worker threw a chain over his shoulder. The chain wrapped around the line going into the drum, and the worker was pulled into the draw works.",OK,1,73019,,
FY 2011,12/18/10,12/13/10,"Radi LLC,, Garyville, LA 70051","Worker fell into the Mississippi River under the barge he was working on. He was admitted to a hospital, where he later died.",LA,1,70051,,
